transaction_id,timestamp,user_id,amount,merchant_id,location,device_type,transaction_type,is_fraud,hour,day_of_week,is_weekend,day,month,time_diff_user,txn_velocity,user_txn_count,user_avg_amount,user_std_amount,user_min_amount,user_txn_sum,merchant_txn_count,merchant_avg_amount,merchant_std_amount,merchant_fraud_rate,hour_fraud_rate,dow_fraud_rate,user_merchant_ratio,unusual_amount_flag,merchant_unique_users
TXN009738,2025-05-05 01:02:00,1000,3518.44,2027,Kolkata,0.023056225215256625,0.023335582810157393,0,1,0,0,5,5,999999.0,1e-06,99,4915.548484848485,3156.6980395538612,68.96,486639.3,204,5194.839754901961,3318.624361346223,0.024509803921568627,0.01904761904761905,0.02037147992810066,0.48292682926829267,0,90
TXN003367,2025-05-05 05:33:00,1000,7672.91,2009,Kolkata,0.015702501261133435,0.02637942911394205,0,5,0,0,5,5,16260.0,6.149683291310498e-05,99,4915.548484848485,3156.6980395538612,68.96,486639.3,187,5606.063850267379,4903.1709780590745,0.0481283422459893,0.034013605442176874,0.02037147992810066,0.526595744680851,0,84
TXN008530,2025-05-05 07:58:00,1000,3881.75,2027,Bangalore,0.015702501261133435,0.023335582810157393,0,7,0,0,5,5,8700.0,0.00011492931846914148,99,4915.548484848485,3156.6980395538612,68.96,486639.3,204,5194.839754901961,3318.624361346223,0.024509803921568627,0.016055045871559634,0.02037147992810066,0.48292682926829267,0,90
TXN000201,2025-05-05 10:04:00,1000,5997.26,2013,Bangalore,0.015927437566374793,0.021966745996806775,0,10,0,0,5,5,7560.0,0.00013225763787858748,99,4915.548484848485,3156.6980395538612,68.96,486639.3,181,5122.96453038674,3586.8102600847674,0.022099447513812154,0.016317016317016316,0.02037147992810066,0.5439560439560439,0,84
TXN002371,2025-05-05 10:08:00,1000,3780.48,2018,Kolkata,0.024601234856665526,0.02003881863881413,0,10,0,0,5,5,240.0,0.004149377593360996,99,4915.548484848485,3156.6980395538612,68.96,486639.3,212,5284.33787735849,3146.784532972839,0.009433962264150943,0.016317016317016316,0.02037147992810066,0.4647887323943662,0,89
TXN006455,2025-05-05 11:31:00,1000,6704.47,2045,Kolkata,0.023056225215256625,0.02637942911394205,0,11,0,0,5,5,4980.0,0.0002007628990162618,99,4915.548484848485,3156.6980395538612,68.96,486639.3,194,5320.596082474227,3396.84198018578,0.02577319587628866,0.023195876288659795,0.02037147992810066,0.5076923076923077,0,89
TXN005334,2025-05-05 15:16:00,1000,9214.64,2001,Bangalore,0.015951064413585368,0.024340106102178644,0,15,0,0,5,5,13500.0,7.406858751203614e-05,99,4915.548484848485,3156.6980395538612,68.96,486639.3,213,5208.0063849765265,3206.8116553140594,0.023474178403755867,0.01762114537444934,0.02037147992810066,0.46261682242990654,0,82
TXN007160,2025-05-06 02:27:00,1000,5726.72,2049,Delhi,0.024601234856665526,0.02003881863881413,0,2,1,0,6,5,40260.0,2.4837932490499493e-05,99,4915.548484848485,3156.6980395538612,68.96,486639.3,212,5130.516226415094,2909.42981910715,0.009433962264150943,0.03424657534246575,0.0182648401826484,0.4647887323943662,0,85
TXN003381,2025-05-07 12:10:00,1000,3335.63,2023,Kolkata,0.024601234856665526,0.024815662139523853,0,12,2,0,7,5,121380.0,8.2385216796698e-06,99,4915.548484848485,3156.6980395538612,68.96,486639.3,175,5028.838914285715,3500.209871891669,0.017142857142857144,0.029953917050691243,0.020015396458814474,0.5625,0,83
TXN007610,2025-05-07 12:18:00,1000,3291.56,2008,Mumbai,0.023161054478088496,0.018027909118117007,0,12,2,0,7,5,480.0,0.002079002079002079,99,4915.548484848485,3156.6980395538612,68.96,486639.3,194,4951.069536082474,3252.0486153390757,0.015463917525773196,0.029953917050691243,0.020015396458814474,0.5076923076923077,0,90
