timestamp,amount,is_fraud,hour,is_weekend,user_txn_count,user_txn_sum,user_avg_amount,user_std_amount,amount_zscore_user,time_diff,txn_velocity,merchant_txn_count,merchant_unique_users,merchant_fraud_rate,device_risk_score,location_risk_score,location_device_interaction,txn_count_1h,txn_count_24h,is_high_amount,is_new_user,is_high_velocity,is_risky_device,is_risky_location,weighted_amount,user_risk_score,days_since_first_txn,txn_amount_ratio_user_avg,is_night,user_fraud_rate,merchant_user_overlap,device_txn_count,rolling_fraud_rate_user_7d,transaction_type_purchase,transaction_type_top-up,transaction_type_transfer,device_type_Web,device_type_iOS,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
2025-05-05 01:02:00,2.215507222705795,0,1,0,99,2.6458400268488,4915.548484848485,3156.698039553861,-0.4425854064413266,999999.0,1e-06,204,90,0.0245098039215686,0.0235680190930787,0.0212871287128712,0.0005016954559417,0,0,0,0,0,0,0,0.7016646391553614,0.022427573902975,0,0.0016609329065283098,1,0.0,0.43902439024390244,3352,0.0,0,1,0,0,1,1,0,0,0,0,0
2025-05-05 05:33:00,2.2971283864963064,0,5,0,99,2.6458400268488,4915.548484848485,3156.698039553861,0.8734954945330201,16260.0,6.149683291310498e-05,187,84,0.0481283422459893,0.015466983938132,0.0212871287128712,0.0003292476778909,0,1,0,0,0,0,0,0.815473525483966,0.0183770563255016,0,0.0018194840486966894,1,0.0,0.44680851063829785,3362,0.0,0,0,1,0,0,1,0,0,0,0,0
2025-05-05 07:58:00,2.226168189788631,0,7,0,99,2.6458400268488,4915.548484848485,3156.698039553861,-0.3274936252675572,8700.0,0.0001149293184691,204,90,0.0245098039215686,0.015466983938132,0.0193986420950533,0.0003000384857057,0,2,0,0,0,0,0,0.5722611847034962,0.0174328130165927,0,0.0016809147656976283,0,0.0,0.43902439024390244,3362,0.0,0,1,0,0,0,1,0,0,0,0,0
2025-05-05 10:04:00,2.27204595511417,0,10,0,99,2.6458400268488,4915.548484848485,3156.698039553861,0.3426718367096,7560.0,0.0001322576378785,181,84,0.0220994475138121,0.015466983938132,0.0193986420950533,0.0003000384857057,0,3,0,0,0,0,0,0.7077442506420645,0.0174328130165927,0,0.0017693763690037419,0,0.0,0.46153846153846156,3362,0.0,0,1,0,0,0,1,0,0,0,0,0
2025-05-05 10:08:00,2.223311420394573,0,10,0,99,2.6458400268488,4915.548484848485,3156.698039553861,-0.3595746158251186,240.0,0.0041493775933609,212,89,0.0094339622641509,0.0252586731588557,0.0212871287128712,0.0005376846266489,1,4,0,0,1,0,0,0.7464297543541233,0.0232729009358635,0,0.0016755394097632801,0,0.0,0.41784037558685444,3286,0.0,1,0,0,1,0,1,0,0,0,0,0
2025-05-05 11:31:00,2.28347147507695,0,11,0,99,2.6458400268488,4915.548484848485,3156.698039553861,0.5667065689324993,4980.0,0.0002007628990162,194,89,0.0257731958762886,0.0235680190930787,0.0212871287128712,0.0005016954559417,0,5,0,0,0,0,0,0.9055524397044933,0.022427573902975,0,0.001792045561505981,0,0.0,0.4564102564102564,3352,0.0,0,0,1,0,1,1,0,0,0,0,0
2025-05-05 15:16:00,2.3153687645273346,0,15,0,99,2.6458400268488,4915.548484848485,3156.698039553861,1.3618950755768546,13500.0,7.406858751203614e-05,213,82,0.0234741784037558,0.015466983938132,0.0193986420950533,0.0003000384857057,0,6,0,0,0,0,0,0.8440127116257117,0.0174328130165927,0,0.0018567206949763326,0,0.0,0.38317757009345793,3362,0.0,0,1,0,0,0,1,0,0,0,0,0
2025-05-06 02:27:00,2.2672762921003344,0,2,0,99,2.6458400268488,4915.548484848485,3156.698039553861,0.2569683590218084,40260.0,2.4837932490499493e-05,212,85,0.0094339622641509,0.0252586731588557,0.0269475747182753,0.0006806599822327,0,6,0,0,0,0,0,0.9512008497887076,0.0261031239385655,1,0.0017599893200342933,1,0.0,0.39906103286384975,3286,0.0,1,0,0,1,0,0,0,0,0,1,0
2025-05-07 12:10:00,2.2096708660037168,0,12,0,99,2.6458400268488,4915.548484848485,3156.698039553861,-0.5004971856832324,121380.0,8.2385216796698e-06,175,83,0.0171428571428571,0.0252586731588557,0.0212871287128712,0.0005376846266489,0,0,0,0,0,0,0,0.7067055318705375,0.0232729009358635,2,0.0016500837161620712,0,0.0,0.4715909090909091,3286,0.0,0,1,0,1,0,0,0,0,0,0,1
2025-05-07 12:18:00,2.208210747395722,0,12,0,99,2.6458400268488,4915.548484848485,3156.698039553861,-0.5144579761826077,480.0,0.002079002079002,194,90,0.0154639175257731,0.0235680190930787,0.0182196772514315,0.0004294017013314,1,1,0,0,1,0,0,0.6318232993448266,0.0208938481722551,2,0.0016473793926056691,0,0.0,0.46153846153846156,3352,0.0,1,0,0,0,1,0,0,0,0,0,1
